fecha,procedencia,personas
2021-12-19,Oceanía,0
2021-12-19,Residente,6
2021-12-19,América del Norte,0
2021-12-19,Gran Bretaña,0
2021-12-19,Austria,0
2021-12-19,R. Eslovaca,8
2021-12-19,R. Checa,0
2021-12-19,Asia y Oriente Próx.,1
2021-12-26,Oceanía,0
2021-12-26,América del Norte,0
2021-12-26,España,4
2021-12-26,Francia,12
2021-12-26,Gran Bretaña,2
2021-12-26,Asia y Oriente Próx.,0
2021-12-26,África,0
2021-12-26,R. Checa,2
2021-12-26,Rusia,0
2021-12-26,R. Eslovaca,0
2021-12-26,Italia,6
2021-12-26,Alemania,33
2021-12-26,América del Sur,0
2021-12-26,Austria,1
2021-12-26,Residente,3
2021-12-26,Estonia-Letonia-Lituania,2
2021-12-26,Europa,16
2021-12-26,Polonia,17
2022-01-02,Residente,1
2022-01-02,Francia,0
2022-01-02,Asia y Oriente Próx.,0
2022-01-02,R. Checa,4
2022-01-02,R. Eslovaca,7
2022-01-02,Europa,11
2022-01-02,América del Sur,0
2022-01-02,Austria,3
2022-01-02,Estonia-Letonia-Lituania,31
2022-01-02,América del Norte,0
2022-01-02,Gran Bretaña,4
2022-01-02,Polonia,15
2022-01-02,Oceanía,0
2022-01-02,España,8
2022-01-02,África,0
2022-01-02,Italia,5
2022-01-02,Alemania,14
2022-01-02,Rusia,1
2022-01-06,Rusia,0
2022-01-06,América del Norte,2
2022-01-06,Oceanía,0
2022-01-06,América del Sur,0
2022-01-06,Italia,14
2022-01-06,Residente,2
2022-01-06,Asia y Oriente Próx.,5
2022-01-06,Europa,8
2022-01-06,R. Eslovaca,2
2022-01-06,R. Checa,2
2022-01-06,Francia,0
2022-01-06,Polonia,23
2022-01-06,Gran Bretaña,1
2022-01-06,Austria,5
2022-01-06,España,14
2022-01-06,Estonia-Letonia-Lituania,2
2022-01-06,Alemania,14
2022-01-06,África,0
2022-01-08,Asia y Oriente Próx.,2
2022-01-08,Austria,7
2022-01-08,Rusia,0
2022-01-08,Gran Bretaña,3
2022-01-08,Italia,10
2022-01-08,Residente,14
2022-01-08,Polonia,13
2022-01-08,R. Eslovaca,0
2022-01-08,América del Sur,0
2022-01-08,África,0
2022-01-08,Oceanía,0
2022-01-08,América del Norte,0
2022-01-08,Francia,4
2022-01-08,Estonia-Letonia-Lituania,7
2022-01-08,R. Checa,2
2022-01-08,Alemania,19
2022-01-08,Europa,18
2022-01-08,España,0
2022-01-09,África,0
2022-01-09,América del Sur,0
2022-01-09,Estonia-Letonia-Lituania,0
2022-01-09,R. Eslovaca,0
2022-01-09,Europa,22
2022-01-09,Gran Bretaña,1
2022-01-09,Alemania,5
2022-01-09,Italia,2
2022-01-09,España,23
2022-01-09,R. Checa,4
2022-01-09,Polonia,19
2022-01-09,Rusia,2
2022-01-09,Oceanía,0
2022-01-09,Asia y Oriente Próx.,0
2022-01-09,América del Norte,9
2022-01-09,Austria,0
2022-01-09,Residente,3
2022-01-09,Francia,0
2022-01-15,Polonia,42
2022-01-15,Estonia-Letonia-Lituania,1
2022-01-15,Italia,0
2022-01-15,América del Norte,1
2022-01-15,Europa,2
2022-01-15,España,19
2022-01-15,Francia,1
2022-01-15,África,0
2022-01-15,Austria,0
2022-01-15,R. Checa,4
2022-01-15,Gran Bretaña,3
2022-01-15,Oceanía,0
2022-01-15,Residente,3
2022-01-15,América del Sur,1
2022-01-15,Alemania,21
2022-01-15,Asia y Oriente Próx.,0
2022-01-15,Rusia,2
2022-01-15,R. Eslovaca,0
2022-01-16,Francia,2
2022-01-16,R. Checa,3
2022-01-16,Italia,4
2022-01-16,Gran Bretaña,4
2022-01-16,Europa,7
2022-01-16,Oceanía,0
2022-01-16,Residente,3
2022-01-16,Asia y Oriente Próx.,0
2022-01-16,España,4
2022-01-16,América del Norte,2
2022-01-16,Alemania,19
2022-01-16,Austria,0
2022-01-16,Estonia-Letonia-Lituania,2
2022-01-16,Polonia,42
2022-01-16,América del Sur,0
2022-01-16,R. Eslovaca,0
2022-01-16,África,0
2022-01-16,Rusia,4
2022-01-22,Oceanía,0
2022-01-22,Rusia,0
2022-01-22,América del Norte,0
2022-01-22,Alemania,31
2022-01-22,Italia,2
2022-01-22,España,11
2022-01-22,Francia,3
2022-01-22,África,0
2022-01-22,Austria,3
2022-01-22,Polonia,26
2022-01-22,R. Checa,8
2022-01-22,Residente,4
2022-01-22,Asia y Oriente Próx.,1
2022-01-22,R. Eslovaca,0
2022-01-22,Europa,13
2022-01-22,Gran Bretaña,0
2022-01-22,América del Sur,0
2022-01-22,Estonia-Letonia-Lituania,7
2022-01-23,Austria,0
2022-01-23,R. Eslovaca,0
2022-01-23,África,0
2022-01-23,Rusia,0
2022-01-23,Italia,0
2022-01-23,América del Sur,0
2022-01-23,Oceanía,0
2022-01-23,R. Checa,6
2022-01-23,Gran Bretaña,7
2022-01-23,Europa,21
2022-01-23,Estonia-Letonia-Lituania,2
2022-01-23,Alemania,18
2022-01-23,Asia y Oriente Próx.,0
2022-01-23,España,18
2022-01-23,Francia,4
2022-01-23,Polonia,37
2022-01-23,Residente,4
2022-01-23,América del Norte,0
2022-01-29,Estonia-Letonia-Lituania,0
2022-01-29,Rusia,2
2022-01-29,España,15
2022-01-29,Europa,9
2022-01-29,Austria,0
2022-01-29,Asia y Oriente Próx.,0
2022-01-29,América del Sur,0
2022-01-29,R. Eslovaca,7
2022-01-29,Gran Bretaña,4
2022-01-29,Residente,3
2022-01-29,Polonia,40
2022-01-29,R. Checa,0
2022-01-29,Francia,0
2022-01-29,Alemania,18
2022-01-29,Oceanía,0
2022-01-29,Italia,0
2022-01-29,África,0
2022-01-29,América del Norte,0
2022-02-05,América del Norte,0
2022-02-05,Asia y Oriente Próx.,0
2022-02-05,Alemania,8
2022-02-05,Polonia,30
2022-02-05,Oceanía,0
2022-02-05,España,13
2022-02-05,Europa,13
2022-02-05,Residente,2
2022-02-05,África,0
2022-02-05,Rusia,0
2022-02-05,Estonia-Letonia-Lituania,12
2022-02-05,Gran Bretaña,2
2022-02-05,Italia,8
2022-02-05,América del Sur,0
2022-02-05,R. Eslovaca,0
2022-02-05,Francia,7
2022-02-05,R. Checa,3
2022-02-05,Austria,1
2022-02-06,América del Sur,0
2022-02-06,Italia,5
2022-02-06,África,0
2022-02-06,Oceanía,0
2022-02-06,Gran Bretaña,11
2022-02-06,Rusia,0
2022-02-06,América del Norte,0
2022-02-06,Francia,9
2022-02-06,R. Checa,0
2022-02-06,Asia y Oriente Próx.,0
2022-02-06,Alemania,16
2022-02-06,Polonia,27
